Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto - Gestantes;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
431475 - Poço das Antas;92,86%;121,43%;114,29%;85,71%;121,43%;121,43%;121,43%;85,71%;150,00%;107,14%;121,43%;142,86%;114,29%;121,43%;107,14%;142,86%;107,14%;128,57%;128,57%
432130 - Taquari;99,56%;88,00%;89,33%;118,22%;64,89%;96,00%;87,56%;88,44%;84,44%;95,11%;88,00%;88,44%;98,22%;85,33%;87,56%;84,89%;95,56%;84,00%;84,89%
432145 - Teutônia;96,75%;96,15%;100,00%;83,14%;89,94%;89,64%;96,15%;89,35%;67,16%;97,04%;96,45%;100,59%;106,51%;94,97%;86,39%;100,30%;108,58%;104,44%;103,55%
432377 - Westfália;107,69%;119,23%;119,23%;65,38%;100,00%;134,62%;119,23%;103,85%;107,69%;115,38%;119,23%;111,54%;119,23%;119,23%;103,85%;115,38%;123,08%;115,38%;119,23%
;90,57%;86,25%;79,83%;82,14%;62,90%;79,36%;85,71%;85,77%;87,00%;88,02%;86,22%;90,82%;80,31%;85,58%;72,55%;87,71%;94,83%;75,66%;77,15%
Totais;89,06%;85,28%;78,96%;82,47%;59,37%;78,10%;84,58%;83,50%;86,22%;86,98%;85,23%;90,51%;76,90%;84,67%;72,12%;87,01%;93,80%;74,15%;75,44%
430063 - Amaral Ferrador;91,67%;129,17%;125,00%;129,17%;79,17%;112,50%;129,17%;66,67%;150,00%;162,50%;129,17%;150,00%;158,33%;125,00%;137,50%;154,17%;141,67%;112,50%;125,00%
430107 - Arroio do Padre;107,14%;85,71%;67,86%;125,00%;53,57%;71,43%;85,71%;100,00%;103,57%;67,86%;85,71%;103,57%;78,57%;85,71%;50,00%;96,43%;82,14%;67,86%;71,43%
430130 - Arroio Grande;61,22%;70,75%;47,62%;68,71%;49,66%;51,02%;70,75%;34,69%;57,82%;63,27%;70,75%;56,46%;65,31%;63,95%;51,70%;52,38%;65,31%;52,38%;47,62%
430450 - Canguçu;85,81%;93,92%;92,12%;97,07%;74,55%;92,12%;94,14%;85,81%;91,89%;96,17%;93,92%;91,22%;95,95%;93,69%;84,68%;91,44%;98,20%;90,54%;91,44%
430466 - Capão do Leão;66,92%;74,14%;72,24%;76,05%;55,89%;68,82%;73,38%;64,64%;76,81%;84,03%;74,14%;77,19%;83,65%;73,38%;63,50%;70,34%;81,37%;66,54%;66,92%
430512 - Cerrito;81,82%;93,94%;103,03%;124,24%;75,76%;106,06%;93,94%;81,82%;100,00%;112,12%;93,94%;112,12%;109,09%;90,91%;106,06%;115,15%;109,09%;121,21%;115,15%
430543 - Chuí;92,00%;124,00%;100,00%;128,00%;112,00%;88,00%;124,00%;88,00%;132,00%;128,00%;124,00%;136,00%;116,00%;120,00%;108,00%;124,00%;124,00%;84,00%;92,00%
430710 - Herval;81,82%;121,82%;61,82%;61,82%;76,36%;63,64%;123,64%;80,00%;110,91%;103,64%;125,45%;87,27%;98,18%;121,82%;60,00%;94,55%;98,18%;87,27%;89,09%
431100 - Jaguarão;93,12%;105,05%;95,41%;69,72%;77,52%;94,95%;104,59%;50,92%;105,96%;107,34%;105,05%;109,17%;105,50%;100,92%;90,83%;107,80%;107,80%;94,95%;93,58%
431245 - Morro Redondo;119,05%;71,43%;92,86%;164,29%;47,62%;97,62%;71,43%;119,05%;88,10%;80,95%;71,43%;97,62%;85,71%;78,57%;92,86%;90,48%;102,38%;83,33%;88,10%
431417 - Pedras Altas;66,67%;77,78%;100,00%;77,78%;100,00%;100,00%;77,78%;55,56%;144,44%;122,22%;77,78%;144,44%;77,78%;122,22%;111,11%;155,56%;144,44%;77,78%;100,00%
431420 - Pedro Osório;64,91%;59,65%;49,12%;47,37%;35,09%;43,86%;59,65%;42,11%;49,12%;52,63%;57,89%;54,39%;52,63%;40,35%;42,11%;52,63%;52,63%;35,09%;35,09%
431440 - Pelotas;103,29%;87,20%;78,17%;71,20%;56,58%;80,23%;85,62%;100,36%;89,26%;89,42%;87,12%;95,29%;90,17%;86,81%;72,27%;90,25%;96,59%;73,14%;76,74%
431450 - Pinheiro Machado;80,00%;103,33%;103,33%;101,67%;90,00%;106,67%;101,67%;76,67%;95,00%;123,33%;103,33%;98,33%;121,67%;100,00%;91,67%;91,67%;126,67%;100,00%;105,00%
431460 - Piratini;76,58%;85,59%;97,30%;127,03%;82,88%;101,80%;83,78%;58,56%;86,49%;91,89%;85,59%;89,19%;90,99%;81,08%;87,39%;84,68%;103,60%;82,88%;83,78%
431560 - Rio Grande;71,82%;72,77%;71,56%;82,57%;47,65%;67,94%;72,77%;68,64%;73,09%;70,10%;72,71%;79,26%;30,15%;73,66%;64,06%;76,97%;84,61%;65,20%;64,69%
431700 - Santana da Boa Vista;190,00%;200,00%;150,00%;160,00%;140,00%;150,00%;200,00%;70,00%;215,00%;225,00%;200,00%;210,00%;205,00%;205,00%;145,00%;205,00%;235,00%;145,00%;145,00%
431730 - Santa Vitória do Palmar;82,59%;78,14%;65,99%;91,90%;54,66%;59,51%;78,14%;80,97%;80,16%;87,04%;77,73%;85,83%;80,16%;76,52%;55,47%;82,19%;89,07%;60,32%;59,51%
431850 - São José do Norte;95,67%;94,23%;97,12%;81,73%;78,85%;85,58%;94,23%;92,31%;99,04%;98,56%;94,23%;99,04%;95,67%;92,31%;87,02%;94,71%;93,27%;85,10%;83,65%
431880 - São Lourenço do Sul;98,97%;106,53%;95,53%;123,71%;81,44%;93,13%;106,19%;93,81%;105,15%;107,56%;106,53%;108,59%;108,25%;106,53%;81,79%;106,53%;109,62%;94,50%;93,47%
432232 - Turuçu;60,71%;78,57%;78,57%;132,14%;64,29%;75,00%;78,57%;64,29%;67,86%;89,29%;78,57%;53,57%;89,29%;78,57%;71,43%;57,14%;89,29%;67,86%;67,86%
Totais;96,55%;90,07%;83,29%;80,83%;76,88%;84,34%;90,20%;94,76%;90,07%;92,11%;90,14%;92,05%;93,77%;89,15%;74,23%;90,44%;98,89%;81,63%;83,91%
430003 - Aceguá;122,45%;110,20%;87,76%;104,08%;85,71%;83,67%;110,20%;122,45%;120,41%;91,84%;110,20%;118,37%;97,96%;110,20%;77,55%;114,29%;100,00%;79,59%;83,67%
430160 - Bagé;94,94%;87,63%;78,73%;73,20%;72,91%;82,29%;87,63%;94,38%;87,63%;88,57%;87,72%;89,97%;90,16%;86,88%;68,98%;88,85%;97,00%;77,98%;80,69%
430435 - Candiota;94,12%;74,51%;77,45%;70,59%;65,69%;67,65%;75,49%;92,16%;79,41%;83,33%;74,51%;89,22%;88,24%;69,61%;70,59%;88,24%;90,20%;72,55%;72,55%
430660 - Dom Pedrito;95,27%;90,54%;89,86%;108,45%;83,78%;88,18%;90,54%;94,26%;90,54%;93,92%;90,54%;90,54%;94,59%;90,20%;82,43%;87,84%;94,26%;85,81%;86,49%
430965 - Hulha Negra;105,08%;110,17%;118,64%;67,80%;115,25%;116,95%;110,17%;105,08%;108,47%;123,73%;110,17%;110,17%;127,12%;108,47%;111,86%;105,08%;130,51%;123,73%;132,20%
431150 - Lavras do Sul;108,16%;128,57%;108,16%;93,88%;89,80%;102,04%;130,61%;71,43%;110,20%;138,78%;128,57%;104,08%;134,69%;128,57%;97,96%;104,08%;146,94%;106,12%;104,08%
;97,29%;97,51%;96,68%;106,50%;82,22%;99,42%;97,28%;97,60%;90,66%;95,83%;97,49%;97,91%;100,84%;97,02%;89,47%;97,05%;103,49%;97,89%;98,02%
Totais;98,60%;98,74%;98,96%;105,83%;81,20%;99,98%;98,60%;95,36%;96,08%;102,38%;98,72%;100,43%;104,00%;98,25%;91,40%;98,32%;104,66%;97,53%;97,93%
430440 - Canela;97,84%;99,02%;88,21%;165,62%;68,96%;83,89%;98,82%;91,16%;96,27%;102,36%;99,02%;98,82%;100,59%;98,82%;79,37%;98,62%;99,80%;86,44%;86,84%
430510 - Caxias do Sul;98,81%;101,71%;103,31%;89,76%;84,39%;105,02%;101,67%;94,76%;98,01%;105,14%;101,74%;102,86%;107,70%;101,22%;96,00%;100,37%;108,35%;101,91%;101,84%
430910 - Gramado;97,62%;79,21%;76,83%;157,43%;68,32%;79,01%;78,61%;102,38%;82,77%;79,60%;78,81%;86,73%;77,82%;78,22%;71,88%;84,16%;79,41%;73,47%;77,03%
431164 - Linha Nova;154,55%;136,36%;118,18%;190,91%;127,27%;118,18%;127,27%;145,45%;145,45%;145,45%;136,36%;163,64%;145,45%;136,36%;118,18%;163,64%;145,45%;127,27%;127,27%
431320 - Nova Petrópolis;98,00%;90,00%;106,50%;132,00%;81,50%;103,50%;90,00%;98,00%;88,50%;109,50%;90,00%;87,50%;110,50%;89,00%;90,00%;87,50%;112,50%;107,50%;109,50%
431442 - Picada Café;90,74%;81,48%;51,85%;142,59%;68,52%;55,56%;81,48%;94,44%;92,59%;74,07%;81,48%;98,15%;72,22%;85,19%;44,44%;101,85%;74,07%;57,41%;57,41%
Totais;98,90%;101,60%;97,50%;112,28%;89,72%;99,50%;101,40%;96,21%;101,40%;104,49%;101,60%;98,70%;103,79%;100,30%;90,22%;98,20%;104,09%;99,80%;100,50%
430230 - Bom Jesus;99,33%;83,22%;82,55%;95,30%;73,15%;88,59%;82,55%;87,25%;93,29%;94,63%;83,22%;89,93%;93,96%;85,91%;74,50%;89,93%;93,96%;84,56%;86,58%
430367 - Campestre da Serra;105,26%;121,05%;89,47%;110,53%;110,53%;100,00%;121,05%;73,68%;94,74%;105,26%;121,05%;100,00%;105,26%;121,05%;84,21%;94,74%;105,26%;94,74%;89,47%
430740 - Esmeralda;103,03%;96,97%;57,58%;103,03%;81,82%;60,61%;96,97%;84,85%;112,12%;69,70%;96,97%;124,24%;66,67%;103,03%;57,58%;124,24%;75,76%;54,55%;66,67%
431112 - Jaquirana;106,25%;109,38%;125,00%;206,25%;112,50%;125,00%;109,38%;109,38%;118,75%;140,63%;109,38%;128,13%;134,38%;109,38%;125,00%;128,13%;125,00%;125,00%;125,00%
431237 - Monte Alegre dos Campos;88,57%;85,71%;114,29%;68,57%;77,14%;111,43%;85,71%;100,00%;71,43%;105,71%;85,71%;80,00%;105,71%;85,71%;114,29%;77,14%;111,43%;140,00%;137,14%
431261 - Muitos Capões;55,00%;120,00%;80,00%;75,00%;80,00%;105,00%;120,00%;65,00%;120,00%;95,00%;120,00%;110,00%;100,00%;120,00%;100,00%;100,00%;120,00%;105,00%;105,00%
431446 - Pinhal da Serra;105,88%;129,41%;123,53%;141,18%;141,18%;129,41%;129,41%;94,12%;111,76%;152,94%;129,41%;111,76%;152,94%;129,41%;123,53%;117,65%;135,29%;135,29%;129,41%
431862 - São José dos Ausentes;96,15%;115,38%;90,38%;78,85%;78,85%;96,15%;115,38%;92,31%;109,62%;94,23%;115,38%;98,08%;100,00%;113,46%;92,31%;96,15%;94,23%;90,38%;90,38%
432250 - Vacaria;100,00%;103,57%;101,40%;117,52%;92,71%;101,40%;103,41%;100,00%;102,17%;106,51%;103,57%;98,29%;105,43%;100,78%;91,32%;98,14%;105,89%;102,02%;102,48%
Totais;93,51%;92,95%;90,63%;103,16%;78,60%;95,97%;92,46%;100,07%;81,13%;81,97%;92,91%;93,09%;94,21%;93,20%;85,62%;94,18%;100,98%;95,12%;94,25%
430210 - Bento Gonçalves;85,11%;83,88%;84,70%;76,43%;64,24%;89,93%;83,14%;97,95%;58,27%;52,95%;83,88%;85,27%;86,42%;84,94%;81,10%;87,07%;93,62%;89,03%;85,27%
430225 - Boa Vista do Sul;86,67%;106,67%;120,00%;120,00%;106,67%;133,33%;106,67%;86,67%;80,00%;113,33%;106,67%;100,00%;113,33%;100,00%;120,00%;106,67%;126,67%;133,33%;126,67%
430480 - Carlos Barbosa;102,05%;112,70%;118,85%;103,69%;100,41%;121,72%;112,30%;95,49%;108,61%;120,49%;112,30%;106,56%;117,62%;112,30%;109,84%;106,15%;124,59%;121,31%;127,05%
430593 - Coronel Pilar;118,18%;81,82%;118,18%;72,73%;90,91%;118,18%;81,82%;136,36%;81,82%;109,09%;81,82%;72,73%;81,82%;81,82%;109,09%;72,73%;109,09%;118,18%;118,18%
430595 - Cotiporã;91,67%;133,33%;91,67%;200,00%;141,67%;95,83%;133,33%;95,83%;133,33%;129,17%;133,33%;104,17%;129,17%;133,33%;91,67%;104,17%;129,17%;100,00%;100,00%
430786 - Fagundes Varela;88,89%;88,89%;51,85%;96,30%;66,67%;51,85%;88,89%;103,70%;88,89%;62,96%;88,89%;85,19%;62,96%;88,89%;51,85%;81,48%;62,96%;48,15%;51,85%
430860 - Garibaldi;100,63%;99,05%;87,97%;101,27%;83,23%;93,35%;99,37%;117,72%;100,32%;94,30%;98,73%;96,20%;89,87%;98,10%;80,38%;99,05%;93,04%;91,14%;92,41%
430925 - Guabiju;140,00%;160,00%;80,00%;160,00%;140,00%;80,00%;160,00%;80,00%;120,00%;80,00%;160,00%;140,00%;80,00%;160,00%;60,00%;140,00%;80,00%;80,00%;80,00%
430940 - Guaporé;100,83%;92,53%;94,61%;97,10%;71,37%;101,24%;90,87%;95,02%;91,29%;107,47%;92,53%;88,80%;97,10%;92,95%;95,02%;92,95%;108,71%;100,41%;105,39%
431238 - Monte Belo do Sul;76,92%;92,31%;92,31%;130,77%;100,00%;100,00%;92,31%;76,92%;92,31%;100,00%;92,31%;84,62%;84,62%;92,31%;76,92%;84,62%;100,00%;92,31%;100,00%
431280 - Nova Araçá;108,62%;158,62%;105,17%;106,90%;153,45%;108,62%;160,34%;94,83%;144,83%;132,76%;160,34%;144,83%;134,48%;158,62%;100,00%;139,66%;134,48%;117,24%;103,45%
431290 - Nova Bassano;98,65%;90,54%;91,89%;125,68%;94,59%;106,76%;90,54%;97,30%;87,84%;105,41%;90,54%;86,49%;108,11%;90,54%;90,54%;90,54%;117,57%;106,76%;105,41%
431330 - Nova Prata;101,24%;90,08%;72,31%;109,50%;79,75%;76,03%;90,08%;105,79%;92,15%;87,19%;89,26%;102,48%;86,36%;89,67%;69,01%;100,41%;92,56%;77,27%;77,27%
431400 - Paraí;96,00%;93,33%;94,67%;86,67%;97,33%;105,33%;92,00%;84,00%;96,00%;98,67%;93,33%;101,33%;97,33%;93,33%;89,33%;98,67%;102,67%;98,67%;98,67%
431454 - Pinto Bandeira;85,71%;135,71%;92,86%;214,29%;92,86%;107,14%;128,57%;100,00%;114,29%;121,43%;135,71%;114,29%;121,43%;135,71%;50,00%;121,43%;114,29%;107,14%;121,43%
431517 - Protásio Alves;100,00%;81,25%;56,25%;237,50%;75,00%;62,50%;81,25%;87,50%;87,50%;62,50%;81,25%;93,75%;62,50%;81,25%;50,00%;93,75%;68,75%;68,75%;62,50%
431725 - Santa Tereza;60,00%;40,00%;100,00%;100,00%;20,00%;120,00%;40,00%;60,00%;40,00%;40,00%;60,00%;60,00%;40,00%;60,00%;120,00%;80,00%;60,00%;100,00%;100,00%
431844 - São Jorge;78,57%;92,86%;164,29%;135,71%;121,43%;178,57%;92,86%;92,86%;92,86%;121,43%;92,86%;114,29%;114,29%;85,71%;164,29%;107,14%;128,57%;157,14%;157,14%
432235 - União da Serra;54,55%;54,55%;72,73%;109,09%;36,36%;72,73%;54,55%;54,55%;54,55%;36,36%;54,55%;72,73%;36,36%;54,55%;54,55%;72,73%;45,45%;54,55%;72,73%
432280 - Veranópolis;102,70%;94,59%;107,57%;224,32%;94,05%;109,73%;94,59%;107,03%;93,51%;116,22%;95,14%;96,22%;114,05%;94,05%;94,05%;94,59%;120,54%;109,73%;107,57%
432330 - Vila Flores;93,55%;90,32%;96,77%;167,74%;74,19%;109,68%;90,32%;96,77%;87,10%;96,77%;90,32%;90,32%;83,87%;90,32%;96,77%;90,32%;90,32%;106,45%;109,68%
432360 - Vista Alegre do Prata;87,50%;125,00%;100,00%;237,50%;112,50%;100,00%;125,00%;62,50%;112,50%;125,00%;125,00%;112,50%;125,00%;125,00%;87,50%;112,50%;112,50%;112,50%;100,00%
Totais;98,64%;99,01%;99,32%;111,02%;87,31%;103,65%;98,89%;101,42%;83,03%;93,44%;99,01%;97,65%;100,37%;97,71%;89,47%;97,21%;103,72%;102,79%;103,47%
430057 - Alto Feliz;109,52%;52,38%;128,57%;152,38%;90,48%;128,57%;52,38%;90,48%;71,43%;119,05%;52,38%;100,00%;138,10%;90,48%;123,81%;100,00%;147,62%;152,38%;133,33%
430080 - Antônio Prado;92,04%;115,04%;97,35%;120,35%;87,61%;107,96%;115,04%;96,46%;98,23%;107,08%;115,04%;103,54%;109,73%;108,85%;84,07%;101,77%;118,58%;107,08%;115,04%
430235 - Bom Princípio;104,90%;113,73%;85,29%;110,78%;86,27%;93,14%;112,75%;105,88%;109,80%;101,96%;113,73%;109,80%;102,94%;111,76%;83,33%;110,78%;105,88%;93,14%;90,20%
430790 - Farroupilha;98,80%;99,85%;97,30%;108,70%;88,31%;102,25%;99,85%;92,35%;66,72%;83,06%;99,85%;100,45%;98,05%;99,25%;89,21%;100,00%;100,90%;97,75%;99,55%
430810 - Feliz;94,59%;86,49%;96,40%;133,33%;77,48%;98,20%;85,59%;100,00%;83,78%;89,19%;86,49%;82,88%;88,29%;81,98%;83,78%;81,98%;93,69%;99,10%;100,00%
430820 - Flores da Cunha;98,28%;90,00%;97,59%;93,79%;76,55%;99,31%;90,00%;100,00%;87,93%;92,41%;90,00%;89,66%;91,72%;87,24%;86,55%;87,59%;93,45%;102,41%;101,03%
431043 - Ipê;102,33%;148,84%;132,56%;139,53%;141,86%;132,56%;146,51%;100,00%;132,56%;132,56%;148,84%;120,93%;141,86%;148,84%;111,63%;120,93%;146,51%;132,56%;132,56%
431308 - Nova Pádua;71,43%;107,14%;164,29%;100,00%;92,86%;135,71%;107,14%;71,43%;100,00%;135,71%;107,14%;92,86%;157,14%;107,14%;128,57%;85,71%;135,71%;150,00%;150,00%
431335 - Nova Roma do Sul;90,91%;72,73%;109,09%;109,09%;66,67%;103,03%;72,73%;121,21%;78,79%;81,82%;72,73%;78,79%;84,85%;72,73%;100,00%;81,82%;81,82%;103,03%;103,03%
431900 - São Marcos;106,88%;88,75%;98,75%;114,38%;88,75%;108,13%;89,38%;145,00%;90,00%;103,75%;88,75%;96,88%;102,50%;86,25%;90,00%;98,13%;106,88%;106,88%;108,13%
431975 - São Vendelino;62,50%;137,50%;125,00%;87,50%;100,00%;131,25%;137,50%;112,50%;137,50%;125,00%;137,50%;106,25%;125,00%;143,75%;125,00%;106,25%;143,75%;137,50%;131,25%
432254 - Vale Real;100,00%;115,56%;104,44%;133,33%;117,78%;104,44%;115,56%;93,33%;104,44%;108,89%;115,56%;93,33%;111,11%;115,56%;82,22%;97,78%;113,33%;106,67%;104,44%
;96,52%;94,16%;84,05%;95,16%;77,65%;91,79%;92,78%;89,76%;94,37%;96,19%;94,16%;96,13%;97,46%;93,73%;81,09%;94,18%;100,66%;88,53%;90,65%
Totais;98,21%;95,01%;94,79%;116,25%;84,96%;97,11%;94,64%;97,27%;94,74%;98,69%;95,01%;95,95%;98,48%;95,01%;84,65%;93,17%;100,26%;94,37%;96,48%
430050 - Alpestre;98,39%;70,97%;87,10%;108,06%;72,58%;87,10%;70,97%;96,77%;66,13%;85,48%;70,97%;69,35%;85,48%;70,97%;74,19%;69,35%;80,65%;87,10%;88,71%
430064 - Ametista do Sul;101,30%;92,21%;103,90%;102,60%;83,12%;109,09%;90,91%;96,10%;93,51%;105,19%;92,21%;98,70%;102,60%;90,91%;97,40%;92,21%;106,49%;107,79%;111,69%
430185 - Barra do Guarita;96,55%;103,45%;100,00%;89,66%;106,90%;100,00%;103,45%;96,55%;110,34%;113,79%;103,45%;110,34%;117,24%;103,45%;96,55%;103,45%;113,79%;96,55%;100,00%
430237 - Bom Progresso;69,57%;39,13%;78,26%;60,87%;47,83%;78,26%;39,13%;86,96%;60,87%;56,52%;39,13%;47,83%;56,52%;43,48%;69,57%;47,83%;60,87%;69,57%;65,22%
430340 - Caiçara;92,31%;84,62%;146,15%;105,13%;97,44%;146,15%;84,62%;100,00%;89,74%;133,33%;84,62%;87,18%;133,33%;84,62%;133,33%;84,62%;130,77%;146,15%;146,15%
430607 - Cristal do Sul;114,29%;123,81%;119,05%;119,05%;104,76%;123,81%;123,81%;114,29%;104,76%;109,52%;123,81%;109,52%;109,52%;123,81%;100,00%;109,52%;109,52%;128,57%;142,86%
430632 - Derrubadas;104,76%;90,48%;95,24%;161,90%;109,52%;95,24%;90,48%;104,76%;76,19%;123,81%;90,48%;80,95%;114,29%;90,48%;76,19%;80,95%;114,29%;100,00%;95,24%
430730 - Erval Seco;100,00%;77,78%;83,33%;133,33%;73,61%;83,33%;77,78%;104,17%;80,56%;81,94%;77,78%;90,28%;80,56%;80,56%;77,78%;84,72%;84,72%;84,72%;90,28%
430745 - Esperança do Sul;94,12%;120,59%;67,65%;138,24%;88,24%;64,71%;120,59%;102,94%;120,59%;79,41%;120,59%;108,82%;88,24%;117,65%;47,06%;97,06%;79,41%;61,76%;70,59%
430850 - Frederico Westphalen;98,90%;85,36%;87,29%;110,77%;72,38%;92,54%;85,36%;99,17%;87,85%;88,40%;85,36%;89,50%;87,02%;85,08%;78,18%;86,46%;92,27%;84,53%;88,12%
431050 - Iraí;111,70%;93,62%;75,53%;109,57%;77,66%;75,53%;92,55%;100,00%;94,68%;87,23%;93,62%;104,26%;82,98%;94,68%;71,28%;102,13%;86,17%;78,72%;78,72%
431160 - Liberato Salzano;103,92%;107,84%;76,47%;88,24%;88,24%;82,35%;107,84%;103,92%;107,84%;90,20%;107,84%;113,73%;86,27%;107,84%;76,47%;111,76%;90,20%;80,39%;80,39%
431344 - Novo Tiradentes;92,86%;85,71%;121,43%;235,71%;85,71%;128,57%;85,71%;114,29%;107,14%;121,43%;85,71%;107,14%;121,43%;78,57%;114,29%;100,00%;121,43%;121,43%;121,43%
431380 - Palmitinho;96,30%;82,72%;90,12%;137,04%;58,02%;92,59%;82,72%;95,06%;91,36%;77,78%;82,72%;100,00%;75,31%;82,72%;82,72%;95,06%;76,54%;90,12%;95,06%
431445 - Pinhal;92,00%;92,00%;76,00%;76,00%;52,00%;52,00%;92,00%;88,00%;76,00%;72,00%;92,00%;76,00%;96,00%;96,00%;68,00%;76,00%;120,00%;80,00%;80,00%
431449 - Pinheirinho do Vale;90,91%;100,00%;90,91%;184,09%;113,64%;93,18%;100,00%;95,45%;97,73%;113,64%;100,00%;90,91%;106,82%;104,55%;63,64%;88,64%;113,64%;93,18%;93,18%
431470 - Planalto;98,92%;95,70%;108,60%;135,48%;79,57%;113,98%;95,70%;93,55%;86,02%;106,45%;95,70%;95,70%;109,68%;93,55%;100,00%;94,62%;105,38%;115,05%;116,13%
431590 - Rodeio Bonito;85,92%;88,73%;102,82%;95,77%;90,14%;104,23%;88,73%;87,32%;95,77%;107,04%;88,73%;92,96%;109,86%;88,73%;88,73%;92,96%;108,45%;102,82%;104,23%
432020 - Seberi;83,21%;108,76%;108,76%;113,87%;86,86%;108,76%;108,76%;94,16%;100,00%;104,38%;108,76%;94,89%;105,11%;108,76%;94,89%;93,43%;106,57%;107,30%;109,49%
432132 - Taquaruçu do Sul;110,00%;110,00%;145,00%;195,00%;105,00%;140,00%;110,00%;105,00%;100,00%;130,00%;110,00%;105,00%;135,00%;110,00%;135,00%;105,00%;140,00%;140,00%;145,00%
432140 - Tenente Portela;99,49%;91,41%;70,71%;83,33%;73,23%;77,27%;90,91%;91,41%;89,90%;93,43%;91,41%;87,88%;93,94%;93,43%;65,66%;85,86%;91,92%;70,20%;69,19%
432147 - Tiradentes do Sul;84,85%;112,12%;112,12%;100,00%;115,15%;112,12%;109,09%;90,91%;103,03%;118,18%;112,12%;109,09%;115,15%;103,03%;81,82%;109,09%;130,30%;115,15%;109,09%
432190 - Três Passos;104,33%;117,79%;113,94%;138,94%;117,31%;113,94%;116,35%;96,63%;118,27%;117,79%;117,79%;114,42%;116,83%;117,79%;102,40%;111,54%;121,15%;111,54%;113,46%
432310 - Vicente Dutra;90,00%;100,00%;112,50%;125,00%;110,00%;115,00%;100,00%;92,50%;100,00%;125,00%;100,00%;105,00%;125,00%;100,00%;102,50%;97,50%;115,00%;112,50%;117,50%
432350 - Vista Alegre;125,93%;107,41%;81,48%;148,15%;100,00%;96,30%;107,41%;122,22%;103,70%;85,19%;107,41%;114,81%;88,89%;107,41%;62,96%;111,11%;88,89%;81,48%;81,48%
432370 - Vista Gaúcha;107,69%;96,15%;111,54%;88,46%;80,77%;100,00%;96,15%;111,54%;103,85%;107,69%;96,15%;96,15%;111,54%;88,46%;100,00%;96,15%;100,00%;92,31%;100,00%
Totais;94,84%;94,31%;86,73%;93,39%;77,71%;90,21%;93,78%;89,73%;94,21%;97,83%;94,36%;95,32%;99,81%;94,36%;82,78%;93,44%;100,24%;85,34%;85,77%
430090 - Aratiba;84,09%;93,18%;93,18%;118,18%;88,64%;95,45%;93,18%;65,91%;79,55%;102,27%;93,18%;77,27%;102,27%;95,45%;88,64%;72,73%;104,55%;86,36%;86,36%
430155 - Áurea;100,00%;84,00%;108,00%;88,00%;92,00%;112,00%;84,00%;100,00%;92,00%;100,00%;84,00%;108,00%;100,00%;84,00%;104,00%;108,00%;100,00%;112,00%;112,00%
430170 - Barão de Cotegipe;103,77%;118,87%;111,32%;149,06%;115,09%;116,98%;118,87%;105,66%;115,09%;124,53%;118,87%;109,43%;122,64%;118,87%;100,00%;109,43%;120,75%;116,98%;115,09%
430192 - Barra do Rio Azul;116,67%;150,00%;116,67%;266,67%;150,00%;133,33%;150,00%;83,33%;150,00%;116,67%;150,00%;133,33%;116,67%;150,00%;116,67%;133,33%;116,67%;133,33%;133,33%
430205 - Benjamin Constant do Sul;34,62%;100,00%;57,69%;26,92%;73,08%;65,38%;100,00%;73,08%;65,38%;88,46%;103,85%;65,38%;80,77%;103,85%;42,31%;61,54%;84,62%;57,69%;61,54%
430380 - Campinas do Sul;95,83%;97,92%;66,67%;102,08%;75,00%;75,00%;97,92%;95,83%;97,92%;75,00%;97,92%;106,25%;75,00%;97,92%;64,58%;100,00%;72,92%;68,75%;70,83%
430485 - Carlos Gomes;88,89%;100,00%;88,89%;77,78%;66,67%;88,89%;100,00%;100,00%;100,00%;133,33%;100,00%;111,11%;133,33%;100,00%;88,89%;111,11%;122,22%;100,00%;100,00%
430511 - Centenário;90,00%;80,00%;90,00%;170,00%;90,00%;90,00%;80,00%;100,00%;110,00%;110,00%;80,00%;90,00%;120,00%;80,00%;110,00%;110,00%;110,00%;90,00%;90,00%
430537 - Charrua;69,23%;48,72%;35,90%;53,85%;35,90%;43,59%;48,72%;38,46%;64,10%;66,67%;48,72%;64,10%;53,85%;61,54%;53,85%;61,54%;28,21%;28,21%;28,21%
430613 - Cruzaltense;100,00%;100,00%;140,00%;80,00%;110,00%;140,00%;100,00%;120,00%;120,00%;130,00%;100,00%;120,00%;150,00%;100,00%;150,00%;130,00%;130,00%;140,00%;140,00%
430695 - Entre Rios do Sul;115,79%;89,47%;73,68%;100,00%;84,21%;78,95%;89,47%;78,95%;94,74%;89,47%;89,47%;78,95%;100,00%;89,47%;57,89%;78,95%;94,74%;73,68%;63,16%
430697 - Erebango;88,46%;119,23%;130,77%;123,08%;107,69%;142,31%;115,38%;80,77%;88,46%;150,00%;119,23%;92,31%;153,85%;111,54%;138,46%;88,46%;138,46%;130,77%;130,77%
430700 - Erechim;96,11%;96,01%;84,71%;88,70%;74,59%;87,34%;95,52%;95,52%;96,88%;93,77%;96,01%;98,83%;98,93%;96,20%;82,08%;97,27%;101,36%;82,08%;82,47%
