Município Residência;BCG;DTP;DTP (1° Reforço);dTpa Adulto;Febre Amarela;Hepatite A Infantil;Hepatite B;Hepatite B (< 30 Dias);Meningo C;Meningo C (1° Reforço);Penta (DTP/HepB/Hib);Pneumo 10;Pneumo 10 (1° Reforço);Polio Injetável (VIP);Polio Oral Bivalente;Rotavírus;Tríplice Viral - 1° Dose;Tríplice Viral - 2° Dose;Varicela
431670 - Santa Bárbara do Sul;109,68%;87,10%;93,55%;94,62%;80,65%;95,70%;87,10%;111,83%;100,00%;96,77%;87,10%;93,55%;94,62%;87,10%;93,55%;95,70%;95,70%;82,80%;98,92%
432030 - Selbach;97,92%;114,58%;97,92%;97,92%;87,50%;100,00%;114,58%;79,17%;120,83%;89,58%;114,58%;118,75%;83,33%;114,58%;100,00%;116,67%;91,67%;93,75%;95,83%
Totais;98,67%;89,62%;79,83%;87,99%;79,01%;88,65%;89,54%;90,95%;94,10%;85,87%;89,58%;92,77%;82,61%;89,69%;81,13%;91,18%;93,10%;77,09%;84,50%
430020 - Ajuricaba;116,00%;112,00%;130,00%;128,00%;110,00%;132,00%;112,00%;112,00%;108,00%;114,00%;112,00%;120,00%;126,00%;112,00%;128,00%;120,00%;132,00%;122,00%;134,00%
430150 - Augusto Pestana;104,35%;94,20%;91,30%;78,26%;111,59%;115,94%;94,20%;5,80%;89,86%;86,96%;94,20%;71,01%;91,30%;94,20%;111,59%;71,01%;101,45%;102,90%;105,80%
430258 - Bozano;95,45%;95,45%;86,36%;77,27%;109,09%;86,36%;95,45%;90,91%;90,91%;104,55%;95,45%;104,55%;109,09%;95,45%;86,36%;104,55%;104,55%;59,09%;86,36%
430400 - Campo Novo;100,00%;86,79%;137,74%;94,34%;96,23%;137,74%;86,79%;98,11%;96,23%;122,64%;86,79%;90,57%;122,64%;86,79%;139,62%;90,57%;124,53%;133,96%;139,62%
430500 - Catuípe;102,67%;101,33%;114,67%;100,00%;96,00%;125,33%;101,33%;94,67%;93,33%;113,33%;101,33%;86,67%;110,67%;101,33%;117,33%;84,00%;120,00%;108,00%;121,33%
430540 - Chiapetta;96,00%;90,00%;68,00%;78,00%;80,00%;68,00%;90,00%;100,00%;90,00%;66,00%;90,00%;82,00%;66,00%;90,00%;68,00%;84,00%;78,00%;58,00%;62,00%
430570 - Condor;98,82%;92,94%;112,94%;96,47%;74,12%;115,29%;92,94%;102,35%;75,29%;91,76%;92,94%;81,18%;91,76%;92,94%;112,94%;81,18%;160,00%;36,47%;117,65%
430587 - Coronel Barros;106,06%;84,85%;33,33%;100,00%;57,58%;39,39%;84,85%;33,33%;103,03%;36,36%;84,85%;100,00%;36,36%;84,85%;33,33%;100,00%;39,39%;36,36%;36,36%
430600 - Crissiumal;95,16%;107,26%;102,42%;76,61%;95,16%;102,42%;107,26%;102,42%;104,03%;104,03%;107,26%;102,42%;104,03%;105,65%;101,61%;100,00%;104,84%;100,81%;101,61%
430970 - Humaitá;105,77%;86,54%;78,85%;84,62%;90,38%;80,77%;86,54%;98,08%;88,46%;88,46%;86,54%;88,46%;88,46%;86,54%;80,77%;88,46%;123,08%;34,62%;80,77%
431020 - Ijuí;97,34%;80,70%;64,45%;87,93%;67,30%;73,86%;80,61%;92,78%;89,35%;77,57%;80,61%;88,50%;70,44%;81,08%;65,40%;86,50%;81,84%;67,11%;70,06%
431041 - Inhacorá;37,04%;77,78%;66,67%;74,07%;77,78%;88,89%;77,78%;14,81%;92,59%;103,70%;77,78%;81,48%;103,70%;77,78%;81,48%;77,78%;103,70%;48,15%;62,96%
431115 - Jóia;103,67%;75,23%;63,30%;82,57%;75,23%;65,14%;75,23%;104,59%;82,57%;75,23%;75,23%;94,50%;73,39%;76,15%;63,30%;96,33%;72,48%;65,14%;66,06%
431333 - Nova Ramada;96,00%;72,00%;88,00%;76,00%;84,00%;88,00%;72,00%;100,00%;88,00%;60,00%;72,00%;76,00%;68,00%;72,00%;84,00%;76,00%;80,00%;84,00%;88,00%
431390 - Panambi;98,90%;94,88%;83,00%;87,93%;83,91%;95,25%;94,88%;99,27%;102,01%;90,31%;94,88%;98,90%;87,75%;94,88%;81,35%;96,71%;92,32%;84,46%;87,02%
431430 - Pejuçara;94,87%;92,31%;33,33%;110,26%;53,85%;79,49%;92,31%;5,13%;82,05%;97,44%;92,31%;84,62%;100,00%;94,87%;66,67%;79,49%;97,44%;74,36%;82,05%
431780 - Santo Augusto;100,65%;101,94%;105,16%;80,00%;87,74%;115,48%;101,29%;92,90%;100,65%;101,29%;101,94%;101,94%;93,55%;101,94%;107,74%;101,94%;107,74%;98,06%;104,52%
431910 - São Martinho;102,90%;95,65%;98,55%;108,70%;85,51%;100,00%;95,65%;107,25%;104,35%;78,26%;95,65%;100,00%;79,71%;97,10%;98,55%;94,20%;85,51%;95,65%;101,45%
431973 - São Valério do Sul;91,89%;100,00%;51,35%;32,43%;75,68%;56,76%;100,00%;43,24%;89,19%;45,95%;100,00%;86,49%;51,35%;91,89%;54,05%;81,08%;75,68%;51,35%;64,86%
432023 - Sede Nova;125,00%;154,17%;141,67%;129,17%;125,00%;125,00%;154,17%;108,33%;145,83%;112,50%;154,17%;137,50%;116,67%;154,17%;129,17%;141,67%;120,83%;116,67%;133,33%
Totais;98,87%;98,17%;92,70%;83,69%;93,44%;96,93%;98,21%;55,34%;97,24%;100,27%;98,10%;100,54%;94,72%;98,56%;92,97%;99,07%;100,78%;85,01%;93,79%
430030 - Alecrim;109,09%;94,55%;105,45%;89,09%;100,00%;107,27%;94,55%;109,09%;125,45%;114,55%;94,55%;120,00%;109,09%;94,55%;105,45%;118,18%;107,27%;96,36%;96,36%
430045 - Alegria;108,00%;120,00%;116,00%;72,00%;144,00%;112,00%;120,00%;68,00%;140,00%;156,00%;120,00%;140,00%;160,00%;128,00%;116,00%;132,00%;200,00%;8,00%;112,00%
430220 - Boa Vista do Buricá;96,51%;117,44%;113,95%;72,09%;124,42%;115,12%;117,44%;11,63%;93,02%;102,33%;117,44%;98,84%;115,12%;117,44%;116,28%;97,67%;117,44%;111,63%;115,12%
430370 - Campina das Missões;104,00%;108,00%;100,00%;96,00%;102,00%;102,00%;108,00%;90,00%;124,00%;128,00%;108,00%;112,00%;104,00%;108,00%;104,00%;114,00%;104,00%;104,00%;104,00%
430430 - Cândido Godói;87,10%;109,68%;88,71%;90,32%;72,58%;88,71%;109,68%;40,32%;103,23%;96,77%;109,68%;100,00%;96,77%;109,68%;93,55%;98,39%;174,19%;4,84%;88,71%
430673 - Doutor Maurício Cardoso;94,59%;72,97%;75,68%;83,78%;86,49%;78,38%;72,97%;108,11%;89,19%;86,49%;72,97%;97,30%;81,08%;75,68%;78,38%;100,00%;159,46%;10,81%;81,08%
430900 - Giruá;93,87%;86,50%;84,66%;83,44%;71,17%;90,80%;86,50%;74,23%;94,48%;101,84%;86,50%;83,44%;92,64%;86,50%;89,57%;80,37%;88,96%;72,39%;93,25%
430960 - Horizontina;103,57%;110,20%;109,69%;89,80%;103,06%;117,35%;110,20%;101,02%;100,00%;106,12%;110,20%;98,98%;104,08%;110,71%;109,18%;95,92%;109,18%;103,57%;110,20%
431040 - Independência;93,94%;101,52%;77,27%;83,33%;81,82%;92,42%;101,52%;22,73%;119,70%;112,12%;101,52%;112,12%;104,55%;101,52%;87,88%;112,12%;104,55%;72,73%;72,73%
431301 - Nova Candelária;102,22%;86,67%;57,78%;68,89%;73,33%;57,78%;86,67%;2,22%;111,11%;68,89%;86,67%;97,78%;68,89%;86,67%;57,78%;97,78%;68,89%;57,78%;60,00%
431342 - Novo Machado;107,14%;89,29%;100,00%;92,86%;100,00%;100,00%;89,29%;110,71%;96,43%;82,14%;89,29%;89,29%;82,14%;89,29%;100,00%;89,29%;82,14%;100,00%;100,00%
431500 - Porto Lucena;106,45%;80,65%;67,74%;70,97%;93,55%;70,97%;80,65%;58,06%;80,65%;67,74%;80,65%;77,42%;83,87%;80,65%;74,19%;67,74%;87,10%;58,06%;54,84%
431505 - Porto Mauá;69,57%;86,96%;69,57%;65,22%;78,26%;78,26%;86,96%;65,22%;82,61%;69,57%;86,96%;78,26%;82,61%;86,96%;86,96%;73,91%;82,61%;65,22%;60,87%
431507 - Porto Vera Cruz;247,62%;204,76%;133,33%;90,48%;190,48%;133,33%;204,76%;152,38%;200,00%;176,19%;204,76%;209,52%;176,19%;209,52%;133,33%;214,29%;233,33%;66,67%;123,81%
431720 - Santa Rosa;100,49%;95,40%;93,73%;76,89%;88,34%;91,48%;95,40%;29,58%;86,88%;92,36%;95,40%;101,37%;91,67%;95,69%;91,97%;99,80%;95,00%;85,90%;89,03%
431790 - Santo Cristo;98,09%;106,37%;89,81%;98,73%;138,22%;143,31%;108,28%;119,11%;129,30%;162,42%;106,37%;107,64%;96,82%;107,01%;91,08%;106,37%;100,64%;140,76%;150,32%
431849 - São José do Inhacorá;115,38%;130,77%;80,77%;150,00%;119,23%;80,77%;123,08%;111,54%;123,08%;111,54%;123,08%;119,23%;103,85%;126,92%;80,77%;119,23%;111,54%;73,08%;84,62%
431930 - São Paulo das Missões;86,36%;104,55%;129,55%;104,55%;100,00%;129,55%;104,55%;56,82%;115,91%;147,73%;104,55%;106,82%;129,55%;104,55%;129,55%;106,82%;136,36%;129,55%;129,55%
432032 - Senador Salgado Filho;104,76%;90,48%;114,29%;90,48%;95,24%;114,29%;90,48%;104,76%;100,00%;119,05%;90,48%;90,48%;109,52%;95,24%;109,52%;90,48%;123,81%;119,05%;138,10%
432180 - Três de Maio;84,11%;87,75%;78,15%;79,14%;74,17%;78,48%;87,75%;38,41%;87,75%;77,15%;87,75%;91,06%;76,82%;88,41%;77,15%;89,40%;77,81%;67,22%;68,54%
432210 - Tucunduva;97,14%;100,00%;131,43%;131,43%;117,14%;140,00%;100,00%;100,00%;102,86%;128,57%;100,00%;102,86%;128,57%;100,00%;131,43%;105,71%;131,43%;128,57%;131,43%
432230 - Tuparendi;101,23%;98,77%;79,01%;101,23%;100,00%;82,72%;98,77%;100,00%;91,36%;80,25%;98,77%;96,30%;81,48%;97,53%;77,78%;97,53%;80,25%;76,54%;79,01%
;99,89%;90,01%;80,48%;81,64%;66,55%;86,23%;89,90%;97,17%;94,81%;90,45%;89,86%;94,10%;81,20%;89,86%;81,56%;90,78%;96,36%;65,85%;80,09%
Totais;90,86%;95,31%;88,31%;91,09%;77,73%;92,62%;95,31%;91,60%;95,64%;90,53%;95,31%;98,05%;87,84%;94,80%;89,10%;92,95%;103,25%;73,83%;88,82%
430105 - Arroio do Sal;92,31%;97,69%;88,46%;95,38%;86,15%;91,54%;97,69%;103,08%;116,15%;110,00%;97,69%;103,08%;98,46%;96,92%;88,46%;99,23%;96,15%;80,00%;83,08%
430463 - Capão da Canoa;94,36%;93,89%;82,49%;93,30%;78,61%;86,72%;93,89%;88,95%;79,44%;74,27%;93,89%;95,18%;81,32%;93,42%;83,67%;88,37%;92,83%;81,55%;83,20%
430655 - Dom Pedro de Alcântara;92,59%;88,89%;133,33%;118,52%;70,37%;129,63%;88,89%;103,70%;77,78%;92,59%;88,89%;96,30%;92,59%;92,59%;129,63%;96,30%;196,30%;14,81%;122,22%
431065 - Itati;111,11%;155,56%;151,85%;114,81%;129,63%;144,44%;155,56%;114,81%;133,33%;129,63%;155,56%;125,93%;133,33%;159,26%;140,74%;114,81%;133,33%;81,48%;162,96%
431173 - Mampituba;111,54%;119,23%;123,08%;103,85%;84,62%;126,92%;119,23%;123,08%;107,69%;100,00%;119,23%;119,23%;92,31%;119,23%;115,38%;107,69%;115,38%;103,85%;180,77%
431177 - Maquiné;115,29%;87,06%;94,12%;95,29%;62,35%;88,24%;87,06%;109,41%;109,41%;97,65%;87,06%;97,65%;84,71%;88,24%;96,47%;95,29%;97,65%;65,88%;67,06%
431244 - Morrinhos do Sul;97,06%;100,00%;88,24%;88,24%;97,06%;82,35%;100,00%;94,12%;117,65%;102,94%;100,00%;94,12%;88,24%;100,00%;91,18%;85,29%;97,06%;29,41%;76,47%
432143 - Terra de Areia;105,79%;107,44%;90,08%;95,04%;80,17%;97,52%;107,44%;100,83%;123,14%;100,83%;107,44%;109,92%;97,52%;104,96%;91,74%;101,65%;108,26%;80,99%;84,30%
432150 - Torres;69,34%;86,97%;81,96%;81,36%;67,94%;89,98%;86,97%;80,56%;96,39%;90,18%;86,97%;91,98%;80,36%;85,97%;83,37%;90,58%;102,20%;72,14%;86,77%
432166 - Três Cachoeiras;86,15%;101,54%;94,62%;93,85%;92,31%;95,38%;101,54%;93,08%;119,23%;117,69%;101,54%;105,38%;94,62%;103,08%;95,38%;99,23%;98,46%;89,23%;96,15%
432183 - Três Forquilhas;82,14%;110,71%;96,43%;96,43%;110,71%;96,43%;110,71%;103,57%;107,14%;110,71%;110,71%;103,57%;100,00%;110,71%;89,29%;92,86%;96,43%;96,43%;89,29%
432380 - Xangri-lá;107,11%;99,49%;101,02%;88,32%;73,60%;107,11%;99,49%;97,97%;102,03%;109,64%;99,49%;104,06%;109,64%;97,97%;102,03%;100,00%;141,62%;37,06%;104,57%
Totais;91,64%;84,65%;77,28%;80,45%;62,96%;81,77%;84,57%;85,57%;87,26%;81,89%;84,57%;91,02%;80,01%;85,16%;79,20%;86,67%;94,11%;56,04%;72,64%
430163 - Balneário Pinhal;99,22%;100,78%;100,78%;97,66%;78,91%;106,25%;100,78%;95,31%;96,09%;112,50%;100,78%;96,09%;103,91%;99,22%;94,53%;92,19%;121,88%;73,44%;82,81%
430467 - Capivari do Sul;82,22%;115,56%;64,44%;51,11%;80,00%;73,33%;115,56%;86,67%;104,44%;75,56%;115,56%;104,44%;73,33%;111,11%;66,67%;104,44%;91,11%;77,78%;73,33%
430471 - Caraá;118,00%;82,00%;102,00%;108,00%;68,00%;112,00%;82,00%;110,00%;86,00%;118,00%;82,00%;88,00%;114,00%;84,00%;118,00%;76,00%;116,00%;42,00%;94,00%
430545 - Cidreira;99,39%;67,88%;69,09%;67,27%;38,79%;68,48%;67,88%;83,03%;79,39%;78,79%;67,88%;74,55%;78,79%;67,88%;73,33%;72,73%;75,15%;16,36%;50,91%
431033 - Imbé;69,66%;61,05%;54,68%;74,91%;46,44%;60,30%;61,05%;65,17%;63,30%;53,56%;61,05%;74,53%;59,93%;61,42%;56,55%;70,41%;62,55%;46,44%;53,93%
431250 - Mostardas;106,72%;101,49%;103,73%;94,78%;91,79%;103,73%;101,49%;105,97%;105,22%;108,21%;101,49%;101,49%;105,22%;102,24%;103,73%;97,01%;102,99%;93,28%;94,78%
431350 - Osório;83,91%;86,85%;71,45%;77,16%;60,38%;78,55%;86,85%;79,93%;80,97%;75,78%;86,85%;92,56%;70,07%;87,89%;71,63%;89,10%;87,72%;66,26%;72,49%
431365 - Palmares do Sul;89,52%;74,19%;79,84%;84,68%;57,26%;79,03%;71,77%;79,03%;84,68%;88,71%;72,58%;91,13%;93,55%;75,00%;83,87%;87,10%;95,97%;61,29%;62,10%
431760 - Santo Antônio da Patrulha;93,71%;94,61%;88,99%;87,64%;71,46%;92,81%;94,61%;84,49%;99,55%;93,93%;94,61%;98,88%;88,99%;94,61%;89,89%;94,38%;96,85%;89,21%;91,24%
432135 - Tavares;116,67%;90,91%;45,45%;71,21%;62,12%;50,00%;90,91%;109,09%;86,36%;66,67%;90,91%;92,42%;66,67%;90,91%;50,00%;95,45%;71,21%;25,76%;50,00%
432160 - Tramandaí;95,66%;82,77%;77,45%;78,01%;62,89%;81,93%;82,91%;90,62%;90,06%;78,29%;82,77%;91,18%;78,15%;83,89%;81,09%;85,01%;107,56%;31,23%;69,61%
Totais;93,69%;89,28%;75,41%;59,05%;73,07%;82,38%;89,21%;102,78%;97,40%;82,38%;89,17%;93,29%;68,21%;89,17%;84,90%;90,88%;90,76%;76,71%;78,52%
430360 - Cambará do Sul;69,12%;80,88%;101,47%;64,71%;79,41%;111,76%;80,88%;101,47%;70,59%;111,76%;80,88%;76,47%;104,41%;82,35%;111,76%;70,59%;110,29%;95,59%;76,47%
431010 - Igrejinha;99,11%;90,40%;86,61%;71,43%;78,79%;75,67%;90,63%;100,89%;97,54%;76,79%;90,40%;94,42%;91,29%;90,63%;101,34%;93,08%;97,32%;88,84%;91,52%
431405 - Parobé;97,72%;90,63%;64,18%;78,48%;72,53%;85,06%;90,51%;109,62%;98,99%;92,66%;90,51%;95,19%;73,67%;91,14%;84,18%;92,78%;92,41%;74,81%;78,35%
431575 - Riozinho;92,50%;87,50%;120,00%;95,00%;107,50%;125,00%;87,50%;105,00%;87,50%;117,50%;87,50%;82,50%;117,50%;97,50%;125,00%;82,50%;122,50%;127,50%;122,50%
431600 - Rolante;84,93%;84,19%;67,28%;58,82%;70,22%;79,41%;83,46%;86,76%;97,43%;80,88%;83,46%;91,18%;73,16%;83,46%;73,90%;91,18%;81,99%;73,16%;71,32%
431820 - São Francisco de Paula;71,60%;85,99%;73,15%;42,41%;56,03%;57,59%;85,99%;84,82%;105,06%;26,85%;85,99%;91,83%;7,00%;86,77%;82,10%;85,21%;82,49%;66,54%;76,26%
432120 - Taquara;96,95%;85,93%;71,36%;11,36%;67,29%;80,68%;85,93%;112,20%;88,14%;79,83%;85,93%;87,80%;64,92%;84,41%;67,29%;85,42%;82,88%;61,36%;62,03%
432170 - Três Coroas;103,46%;103,46%;99,13%;101,30%;93,07%;105,63%;103,46%;97,84%;116,45%;113,42%;103,46%;109,52%;56,28%;101,73%;101,73%;107,36%;100,87%;100,00%;100,00%
Totais;86,12%;92,34%;80,60%;83,14%;68,23%;89,13%;92,34%;67,09%;94,75%;92,66%;92,32%;96,63%;75,93%;92,57%;82,45%;94,70%;96,26%;69,29%;73,16%
430087 - Araricá;95,28%;89,62%;79,25%;54,72%;50,00%;83,96%;89,62%;119,81%;68,87%;65,09%;89,62%;105,66%;81,13%;86,79%;86,79%;91,51%;96,23%;11,32%;59,43%
430390 - Campo Bom;96,78%;92,69%;102,34%;92,54%;80,99%;108,19%;92,69%;51,75%;91,67%;104,09%;92,69%;93,27%;95,47%;92,84%;103,22%;96,49%;110,67%;95,03%;92,84%
430640 - Dois Irmãos;97,41%;93,08%;81,56%;85,88%;84,73%;92,51%;93,37%;80,12%;93,37%;96,83%;93,08%;97,12%;72,91%;93,37%;83,00%;96,54%;105,48%;78,67%;78,39%
430760 - Estância Velha;116,94%;100,62%;94,01%;95,66%;72,31%;101,24%;100,62%;108,06%;114,46%;102,89%;100,62%;103,51%;96,69%;100,00%;100,41%;101,45%;127,89%;62,81%;93,60%
431080 - Ivoti;102,24%;84,70%;64,18%;75,00%;62,69%;69,40%;84,70%;88,81%;89,55%;64,55%;84,70%;91,42%;63,43%;85,07%;63,43%;92,91%;79,85%;61,19%;67,91%
431162 - Lindolfo Collor;133,77%;110,39%;94,81%;84,42%;100,00%;94,81%;110,39%;135,06%;149,35%;135,06%;110,39%;120,78%;100,00%;111,69%;93,51%;114,29%;105,19%;85,71%;87,01%
431247 - Morro Reuter;94,12%;123,53%;107,84%;94,12%;127,45%;125,49%;123,53%;64,71%;109,80%;129,41%;123,53%;113,73%;133,33%;121,57%;119,61%;111,76%;150,98%;125,49%;123,53%
431306 - Nova Hartz;102,48%;104,96%;92,98%;69,42%;63,64%;101,24%;104,96%;127,27%;121,07%;118,60%;104,96%;109,50%;104,13%;104,96%;93,80%;100,00%;106,20%;93,80%;95,45%
431340 - Novo Hamburgo;75,69%;88,94%;74,66%;82,61%;65,74%;81,13%;88,90%;52,31%;95,60%;87,61%;88,94%;91,71%;52,02%;88,42%;75,51%;91,16%;88,09%;61,12%;60,67%
431480 - Portão;86,22%;116,35%;98,72%;98,08%;101,60%;116,67%;116,03%;54,49%;106,73%;115,06%;116,03%;112,18%;89,42%;117,31%;105,77%;105,77%;128,85%;89,10%;97,76%
431514 - Presidente Lucena;96,97%;145,45%;139,39%;124,24%;118,18%;151,52%;145,45%;90,91%;136,36%;136,36%;145,45%;127,27%;142,42%;145,45%;148,48%;124,24%;151,52%;151,52%;190,91%
431695 - Santa Maria do Herval;77,08%;54,17%;33,33%;25,00%;52,08%;41,67%;54,17%;75,00%;64,58%;54,17%;54,17%;47,92%;50,00%;54,17%;43,75%;45,83%;68,75%;8,33%;43,75%
431848 - São José do Hortêncio;118,42%;65,79%;97,37%;39,47%;71,05%;86,84%;65,79%;134,21%;65,79%;92,11%;65,79%;92,11%;92,11%;65,79%;97,37%;84,21%;100,00%;65,79%;163,16%
431870 - São Leopoldo;80,66%;77,12%;68,32%;69,06%;50,61%;74,02%;77,12%;50,77%;74,63%;77,97%;77,12%;84,57%;75,49%;78,58%;65,72%;80,86%;74,71%;56,31%;57,61%
431990 - Sapiranga;87,04%;122,78%;97,43%;110,68%;88,47%;118,68%;122,88%;100,76%;123,74%;119,35%;122,78%;128,03%;103,34%;122,69%;108,87%;126,98%;128,98%;96,57%;98,95%
Totais;80,19%;88,96%;77,26%;78,86%;63,33%;83,47%;88,26%;72,13%;88,42%;86,48%;88,24%;91,03%;68,28%;88,82%;76,54%;88,64%;92,76%;69,21%;73,83%
430165 - Barão;73,53%;104,41%;105,88%;85,29%;86,76%;107,35%;104,41%;61,76%;101,47%;85,29%;104,41%;98,53%;86,76%;104,41%;100,00%;101,47%;172,06%;14,71%;98,53%
430265 - Brochier;96,15%;80,77%;115,38%;103,85%;71,15%;111,54%;80,77%;76,92%;78,85%;100,00%;80,77%;78,85%;92,31%;80,77%;113,46%;75,00%;119,23%;101,92%;113,46%
430460 - Canoas;70,39%;85,26%;65,84%;74,52%;63,57%;74,31%;85,11%;59,95%;88,35%;78,54%;85,11%;89,43%;66,79%;84,58%;64,91%;87,14%;85,96%;63,95%;68,48%
430468 - Capela de Santana;104,96%;99,17%;89,26%;98,35%;80,17%;104,96%;99,17%;110,74%;111,57%;110,74%;99,17%;106,61%;107,44%;99,17%;90,91%;100,00%;106,61%;88,43%;87,60%
430770 - Esteio;94,53%;94,41%;87,08%;93,91%;70,56%;89,44%;87,58%;82,98%;83,85%;91,30%;87,45%;94,66%;60,50%;93,91%;88,70%;93,66%;97,39%;81,24%;82,36%
430955 - Harmonia;108,62%;93,10%;129,31%;98,28%;98,28%;122,41%;93,10%;120,69%;96,55%;124,14%;93,10%;98,28%;124,14%;94,83%;120,69%;98,28%;127,59%;118,97%;120,69%
431179 - Maratá;126,09%;121,74%;100,00%;104,35%;108,70%;100,00%;121,74%;117,39%;126,09%;100,00%;121,74%;130,43%;95,65%;121,74%;100,00%;126,09%;86,96%;104,35%;104,35%
431240 - Montenegro;94,60%;88,10%;76,93%;76,81%;76,32%;89,45%;88,10%;84,66%;96,07%;100,61%;88,10%;90,67%;95,46%;87,61%;78,77%;88,34%;99,63%;77,42%;79,14%
431337 - Nova Santa Rita;120,33%;94,99%;104,46%;76,88%;73,54%;103,90%;94,99%;116,16%;81,06%;101,95%;94,99%;90,25%;96,94%;96,10%;101,11%;90,25%;101,67%;84,40%;83,29%
431403 - Pareci Novo;112,00%;94,00%;94,00%;88,00%;76,00%;98,00%;94,00%;104,00%;114,00%;100,00%;94,00%;108,00%;88,00%;92,00%;98,00%;104,00%;94,00%;86,00%;92,00%
431650 - Salvador do Sul;95,18%;97,59%;109,64%;91,57%;97,59%;109,64%;97,59%;97,59%;90,36%;95,18%;97,59%;86,75%;98,80%;96,39%;107,23%;85,54%;97,59%;98,80%;109,64%
431861 - São José do Sul;110,34%;96,55%;127,59%;106,90%;68,97%;120,69%;96,55%;113,79%;89,66%;110,34%;96,55%;96,55%;100,00%;96,55%;120,69%;96,55%;100,00%;120,69%;120,69%
431935 - São Pedro da Serra;104,65%;90,70%;118,60%;111,63%;97,67%;109,30%;90,70%;113,95%;88,37%;93,02%;90,70%;83,72%;93,02%;90,70%;111,63%;83,72%;95,35%;106,98%;109,30%
431950 - São Sebastião do Caí;59,23%;95,00%;69,23%;77,69%;53,85%;80,38%;95,00%;67,69%;78,46%;86,54%;95,00%;75,00%;81,54%;96,54%;74,23%;74,62%;87,69%;68,08%;70,00%
432000 - Sapucaia do Sul;71,32%;86,34%;82,96%;77,86%;35,80%;83,97%;86,41%;67,07%;81,88%;82,17%;86,34%;90,94%;28,90%;86,77%;80,01%;86,77%;86,92%;65,06%;67,72%
432085 - Tabaí;106,90%;127,59%;110,34%;103,45%;86,21%;103,45%;127,59%;105,17%;117,24%;110,34%;127,59%;115,52%;117,24%;131,03%;106,90%;110,34%;168,97%;22,41%;91,38%
432200 - Triunfo;98,97%;99,31%;83,45%;71,38%;73,45%;91,72%;99,31%;85,52%;97,93%;90,69%;99,31%;100,00%;94,48%;102,41%;85,17%;95,17%;110,69%;52,76%;65,52%
432225 - Tupandi;101,82%;118,18%;127,27%;87,27%;121,82%;129,09%;118,18%;94,55%;118,18%;187,27%;118,18%;105,45%;141,82%;116,36%;123,64%;109,09%;150,91%;109,09%;109,09%
Totais;96,91%;96,19%;82,67%;78,70%;69,85%;87,15%;96,19%;88,31%;104,60%;98,00%;96,19%;98,76%;91,45%;96,81%;85,84%;94,49%;91,23%;68,51%;74,20%
430085 - Arambaré;82,05%;87,18%;66,67%;107,69%;35,90%;66,67%;87,18%;89,74%;84,62%;66,67%;87,18%;87,18%;69,23%;87,18%;71,79%;79,49%;64,10%;35,90%;41,03%
430110 - Arroio dos Ratos;122,46%;106,52%;81,88%;66,67%;73,91%;85,51%;106,52%;119,57%;111,59%;102,90%;106,52%;113,04%;97,83%;110,14%;95,65%;103,62%;93,48%;64,49%;69,57%
430175 - Barão do Triunfo;114,29%;116,67%;128,57%;83,33%;109,52%;130,95%;116,67%;100,00%;104,76%;128,57%;116,67%;102,38%;130,95%;114,29%;130,95%;100,00%;133,33%;104,76%;123,81%
430190 - Barra do Ribeiro;107,32%;101,63%;90,24%;77,24%;86,99%;91,87%;101,63%;110,57%;119,51%;108,94%;101,63%;103,25%;90,24%;102,44%;97,56%;99,19%;96,75%;43,09%;93,50%
430270 - Butiá;96,91%;97,94%;72,68%;77,32%;75,77%;79,90%;97,94%;92,27%;107,22%;101,03%;97,94%;91,24%;89,69%;99,48%;76,29%;88,14%;85,57%;58,76%;65,46%
430350 - Camaquã;104,02%;118,33%;99,70%;79,28%;83,90%;105,07%;118,33%;71,98%;135,77%;119,82%;118,33%;127,57%;113,11%;119,52%;102,83%;119,23%;111,33%;83,01%;81,22%
430517 - Cerro Grande do Sul;95,83%;80,83%;79,17%;96,67%;71,67%;83,33%;80,83%;104,17%;72,50%;92,50%;80,83%;83,33%;85,00%;82,50%;78,33%;85,00%;84,17%;78,33%;79,17%
430535 - Charqueadas;98,69%;85,95%;89,22%;97,39%;67,32%;92,81%;85,95%;96,41%;96,08%;102,29%;85,95%;90,20%;90,52%;87,25%;88,56%;85,95%;98,37%;54,25%;66,99%
430544 - Chuvisca;112,96%;114,81%;92,59%;83,33%;116,67%;90,74%;114,81%;103,70%;150,00%;112,96%;114,81%;118,52%;109,26%;116,67%;92,59%;116,67%;90,74%;90,74%;177,78%
430605 - Cristal;46,75%;103,90%;80,52%;79,22%;93,51%;101,30%;103,90%;16,88%;105,19%;105,19%;103,90%;94,81%;106,49%;111,69%;81,82%;97,40%;107,79%;100,00%;88,31%
430650 - Dom Feliciano;76,35%;87,16%;73,65%;72,30%;61,49%;77,03%;87,16%;47,97%;91,89%;85,14%;87,16%;75,68%;75,68%;85,81%;68,92%;83,11%;77,03%;57,43%;58,78%
430676 - Eldorado do Sul;66,96%;80,18%;84,14%;74,23%;53,96%;90,09%;80,18%;70,93%;78,19%;87,00%;80,18%;83,92%;86,12%;80,18%;85,46%;79,30%;79,96%;74,01%;76,43%
430880 - General Câmara;88,52%;90,16%;91,80%;85,25%;65,57%;88,52%;90,16%;70,49%;106,56%;101,64%;90,16%;81,97%;91,80%;86,89%;90,16%;78,69%;104,92%;78,69%;80,33%
